,id,full_text,word_len,favorite_count,retweet_count,date,created_at,detected_language,language_confidence
166,1.308995359105069e+18,picozoa,7,15,0,2020-09-24,2020-09-24 05:03:08,ms,0.29579747
167,1.3089953514713252e+18,choanozoa,9,14,0,2020-09-24,2020-09-24 05:03:06,it,0.65682167
168,1.308814085035905e+18,rumpology,9,65,12,2020-09-23,2020-09-23 17:02:49,en,0.82857645
169,1.3087612679355105e+18,multisales,10,8,0,2020-09-23,2020-09-23 13:32:56,en,0.96871936
170,1.3087009902800282e+18,murble,6,21,5,2020-09-23,2020-09-23 09:33:25,en,0.8401675
171,1.3087008768659743e+18,schoolcation,12,47,8,2020-09-23,2020-09-23 09:32:58,ms,0.281142
172,1.3084970328233452e+18,videofication,13,40,6,2020-09-22,2020-09-22 20:02:57,zh-CN,1.0
173,1.30849701349188e+18,dadlifejason,12,35,7,2020-09-22,2020-09-22 20:02:53,en,1.0
174,1.3084970055017226e+18,itsnotjakefuller,16,22,1,2020-09-22,2020-09-22 20:02:51,en,1.0
175,1.308474371367932e+18,rasquache,9,9,2,2020-09-22,2020-09-22 18:32:55,en,1.0
176,1.3084743632309903e+18,ghostlings,10,82,19,2020-09-22,2020-09-22 18:32:53,ar,1.0
177,1.3084291073535222e+18,surfbreaks,10,18,3,2020-09-22,2020-09-22 15:33:03,pl,1.0
178,1.3084290694243942e+18,uncertaintyled,14,17,3,2020-09-22,2020-09-22 15:32:54,en,0.7549956
179,1.3084064050540298e+18,blubberstones,13,31,2,2020-09-22,2020-09-22 14:02:50,en,1.0
180,1.3083460056670536e+18,judgeocracy,11,50,12,2020-09-22,2020-09-22 10:02:50,fr,0.5574281
181,1.3083007110005883e+18,bloodybelly,11,33,6,2020-09-22,2020-09-22 07:02:51,en,0.72742194
182,1.3082857107266478e+18,ecotox,6,22,3,2020-09-22,2020-09-22 06:03:14,en,1.0
183,1.3081875594329457e+18,understepping,13,28,5,2020-09-21,2020-09-21 23:33:13,so,1.0
184,1.3081347223343227e+18,lahpet,6,7,0,2020-09-21,2020-09-21 20:03:16,sv,1.0
185,1.3081347079017185e+18,khaut,5,4,2,2020-09-21,2020-09-21 20:03:12,la,1.0
186,1.3081271627681628e+18,estaríamos,10,758,174,2020-09-21,2020-09-21 19:33:14,en,0.6705171
187,1.3081045485365207e+18,theatering,10,43,8,2020-09-21,2020-09-21 18:03:22,en,0.9599768
188,1.3080516975336735e+18,tserensodnomi,13,14,0,2020-09-21,2020-09-21 14:33:21,nl,0.9608489
189,1.3080516890653778e+18,fahimii,7,2,0,2020-09-21,2020-09-21 14:33:19,en,1.0
190,1.3079912865452974e+18,lllustrations,13,55,4,2020-09-21,2020-09-21 10:33:18,en,1.0
191,1.3078403552372326e+18,tumblesaulted,13,27,4,2020-09-21,2020-09-21 00:33:33,en,0.7121615
192,1.3077724041527951e+18,insperation,11,53,13,2020-09-20,2020-09-20 20:03:33,la,0.73828125
193,1.3077723958314066e+18,actavist,8,73,10,2020-09-20,2020-09-20 20:03:31,en,1.0
194,1.3077723876818657e+18,dreamd,6,37,7,2020-09-20,2020-09-20 20:03:29,en,1.0
195,1.3076138679467827e+18,scoophead,9,44,5,2020-09-20,2020-09-20 09:33:35,kn,0.81918633
