,id,full_text,favorite_count,retweet_count,created_at
191,1307840355237232641,tumblesaulted,27,4,2020-09-21 00:33:33
192,1307772404152795137,insperation,53,13,2020-09-20 20:03:33
193,1307772395831406596,actavist,73,10,2020-09-20 20:03:31
194,1307772387681865728,dreamd,37,7,2020-09-20 20:03:29
195,1307613867946782720,scoophead,44,5,2020-09-20 09:33:35
196,1307613854097125377,cephalofoil,15,2,2020-09-20 09:33:31
197,1307613839882625024,cephalophoil,15,3,2020-09-20 09:33:28
198,1307613831930273792,cephalofoils,12,2,2020-09-20 09:33:26
199,1307583664599990280,civiccomplaint,21,1,2020-09-20 07:33:34
200,1307251459973578752,cyclooctasulfur,17,2,2020-09-19 09:33:30
201,1307221234070028289,upfakes,43,3,2020-09-19 07:33:23
202,1307221212628750336,d’mai,7,0,2020-09-19 07:33:18
203,1307198651404562432,fraughts,22,2,2020-09-19 06:03:39
204,1307085339257954304,escondelero,14,3,2020-09-18 22:33:24
205,1307085331452301313,jocotes,6,3,2020-09-18 22:33:22
206,1307040073108664323,tremella,5,0,2020-09-18 19:33:31
207,1307032526016438272,bibliofriends,157,37,2020-09-18 19:03:32
208,1307009817094086656,approachare,9,1,2020-09-18 17:33:18
209,1306949390477688833,d’arredamento,20,2,2020-09-18 13:33:11
210,1306889057788669953,zeders,17,3,2020-09-18 09:33:26
211,1306760667471458310,sysloop,19,3,2020-09-18 01:03:16
212,1306662518350376961,rubbertramps,16,5,2020-09-17 18:33:15
213,1306609658325540867,expectunprecedented,101,24,2020-09-17 15:03:12
214,1306541743236669440,insuretech,13,3,2020-09-17 10:33:20
215,1306337918735331338,positiviy,160,18,2020-09-16 21:03:25
216,1306300194242416642,gympietides,23,1,2020-09-16 18:33:30
217,1306262409837936642,smoothified,101,18,2020-09-16 16:03:22
218,1306239760135008256,chasedown,18,5,2020-09-16 14:33:22
219,1306179369770061824,boliviensis,8,2,2020-09-16 10:33:24
220,1306020850227871744,banksianus,25,2,2020-09-16 00:03:30
221,1305930235490308098,snacevery,17,0,2020-09-15 18:03:25
222,1305884966765629440,trompos,52,14,2020-09-15 15:03:32
223,1305869897663217665,palliasses,10,1,2020-09-15 14:03:40
224,1305824546596024321,ecopessimism,231,59,2020-09-15 11:03:27
225,1305801959090401281,sacroiliitis,6,1,2020-09-15 09:33:42
226,1305801919219326977,tripoding,24,0,2020-09-15 09:33:32
